,,,,
,FB_OTNx_CD_FIH_metro_zone_3_20210305.zip,,,20210305
,FB_OTNx_CD_FIH_metro_zone_4_20210226.zip,,,20210226
,FB_OTNx_CD_FIH_metro_zone_5_20210309.zip,,,20210309
,FB_OTNx_CD_FIH_metro_zone_6_20210311.zip,,,20210311
,FB_OTNx_CD_FIH_metro_zone_7_20210302.zip,,,20210302
,FB_OTNx_CD_FKI_metro_20210312.zip,FKI_metro,56.7,20210312
,FB_OTNx_CD_FMI_metro_20210412.zip,FMI_metro,37.6,20210412
,Phase 2 Total,,525.3,
,,,,
,Metro Total,,827.9,
,,,,
,InterCity + Metro Total,,"5,897.6",
