,,,,,"Where they exist, UN/LOCODEs were used:",https://service.unece.org/trade/locode/cd.htm
,,,,,,
,,,End Points - Survey,,,
,#,Code,Ville,Province,Plus Code,G Maps
,48,KMA,Kama,Maniema,6G972WVP+P9,https://www.google.com/maps/place/6G972WVP%2BP9
,49,KMJ,Kamiji,Lomami,6G55868X+VJ,https://www.google.com/maps/place/6G55868X%2BVJ
,50,KND,Kindu,Maniema,6G973W2G+PM,https://www.google.com/maps/place/6G973W2G%2BPM
,51,KNG,Kisenge,Ituri,6GHG86C3+7H,https://www.google.com/maps/place/6GHG86C3%2B7H
,52,KOM,Komanda,Ituri,6GHF9Q87+J6,https://www.google.com/maps/place/6GHF9Q87%2BJ6
,53,KPS,Kipese,Nord-Kivu,6GFFV7WW+GV,https://www.google.com/maps/place/6GFFV7WW%2BGV
,54,KRM,Kirima,Nord-Kivu,6GFF258V+G5,https://www.google.com/maps/place/6GFF258V%2BG5
,55,KSG,Kasongo,Maniema,6G78HMC8+2X,https://www.google.com/maps/place/6G78HMC8%2B2X
,56,KSI,Kasindi,Nord-Kivu,6GGF2MXJ+6Q,https://www.google.com/maps/place/6GGF2MXJ%2B6Q
,57,KSK,Kasuku,Maniema,6G872WW2+PP,https://www.google.com/maps/place/6G872WW2%2BPP
,58,KSV,Kasindi Vieux,Nord-Kivu,6GFFXM3P+4X,https://www.google.com/maps/place/6GFFXM3P%2B4X
,59,KTD,Katanda,Kasaï-Oriental,6G55MW82+VQ,https://www.google.com/maps/place/6G55MW82%2BVQ
,60,KTU,Kisantu,Kongo-Central,6F6QV3FJ+RJ,https://www.google.com/maps/place/6F6QV3FJ%2BRJ
,61,KWZ,Kolwezi,Lualaba,5GX78FC2+2H,https://www.google.com/maps/place/5GX78FC2%2B2H
,62,KYL,Kamanyola,Sud-Kivu,6G9F7283+F9,https://www.google.com/maps/place/6G9F7283%2BF9
,63,LBN,Lubena,Nord-Kivu,6GGFC47Q+6G,https://www.google.com/maps/place/6GGFC47Q%2B6G
,64,LBO,Lubao,Lomami,6G67JP8V+3W,https://www.google.com/maps/place/6G67JP8V%2B3W
,65,LFU,Lemfu,Kongo-Central,6F6QP629+MJ,https://www.google.com/maps/place/6F6QP629%2BMJ
,66,LKG,Lukengo,Tanganyika,6G6F64F5+X9,https://www.google.com/maps/place/6G6F64F5%2BX9
,67,LKS,Likasi,Haut-Katanga,5GX82P7V+62,https://www.google.com/maps/place/5GX82P7V%2B62
,68,LKT,Lumukatende,Kasaï-Central,6G642FV8+PR,https://www.google.com/maps/place/6G642FV8%2BPR
,69,LMB,Lulimba,Sud-Kivu,6G7C8J4W+4M,https://www.google.com/maps/place/6G7C8J4W%2B4M
,70,LTU,Lubutu,Maniema,6GF87H4M+87,https://www.google.com/maps/place/6GF87H4M%2B87
,71,LUK,Lukusu,Lomami,6G45MM7R+J3,https://www.google.com/maps/place/6G45MM7R%2BJ3
,72,LUL,Lulua,Kasaï-Central,6G642C5X+M6,https://www.google.com/maps/place/6G642C5X%2BM6
,73,LUP,Luputa,Lomami,6G45RPPC+R8,https://www.google.com/maps/place/6G45RPPC%2BR8
,74,LUS,Lusanga,Kasaï-Oriental,6G55VCQX+39,https://www.google.com/maps/place/6G55VCQX%2B39
,75,LWE,Lwalaba Est,Maniema,6G78FHCC+5F,https://www.google.com/maps/place/6G78FHCC%2B5F
,76,LWM,Lwambo,Haut-Katanga,5GX85PPR+C6,https://www.google.com/maps/place/5GX85PPR%2BC6
,77,LWO,Lwalaba Ouest,Maniema,6G78FH98+2V,https://www.google.com/maps/place/6G78FH98%2B2V
,78,MAF,Mafombi,Nord-Kivu,6GC9PMR3+7J,https://www.google.com/maps/place/6GC9PMR3%2B7J
,79,MAT,Matadi,Kongo-Central,6F6M5F3F+QF,https://www.google.com/maps/place/6F6M5F3F%2BQF
,80,MBA,Mbau,Nord-Kivu,6GGFJFXX+CJ,https://www.google.com/maps/place/6GGFJFXX%2BCJ
,81,MBK,Mabuku,Nord-Kivu,6GGF88F2+8Q,https://www.google.com/maps/place/6GGF88F2%2B8Q
,82,MBO,Mayaribo,Ituri,6GHGC5VH+8H,https://www.google.com/maps/place/6GHGC5VH%2B8H
,83,MBS,Mambasa,Ituri,6GHF926P+73,https://www.google.com/maps/place/6GHF926P%2B73
,84,MBY,Maboya,Nord-Kivu,6GGF78MM+RW,https://www.google.com/maps/place/6GGF78MM%2BRW
,85,MCA,Matadi CD-AG Border,Kongo-Central,6F6M4CQP+3C,https://www.google.com/maps/place/6F6M4CQP%2B3C
,86,MDA,Mushinda,Kasaï,6G53Q323+H5,https://www.google.com/maps/place/6G53Q323%2BH5
,87,MDB,Mandumbi,Ituri,6GGFP9J9+JV,https://www.google.com/maps/place/6GGFP9J9%2BJV
,88,MDT,Mwene-Ditu,Lomami,6G45XCQX+HR,https://www.google.com/maps/place/6G45XCQX%2BHR
,89,MGA,Mutwanga,Nord-Kivu,6GGF8PPP+4H,https://www.google.com/maps/place/6GGF8PPP%2B4H
,90,MIS,Misisi,Sud-Kivu,6G7C6PJ4+2G,https://www.google.com/maps/place/6G7C6PJ4%2B2G
,91,MJM,Mbuji-Mayi,Kasaï-Oriental,6G55VHV8+6M,https://www.google.com/maps/place/6G55VHV8%2B6M
,92,MLB,Malambo,Nord-Kivu,6GGF8MFG+9P,https://www.google.com/maps/place/6GGF8MFG%2B9P
,93,MRK,Masereka,Nord-Kivu,6GFFV84G+RR,https://www.google.com/maps/place/6GFFV84G%2BRR
,94,MSK,Musakana,Lomami,6G67PV6J+Q4,https://www.google.com/maps/place/6G67PV6J%2BQ4
,95,MTB,Matamba,Kasaï-Central,6G6427WF+RV,https://www.google.com/maps/place/6G6427WF%2BRV
,96,MTI,Miti,Sud-Kivu,6G9CJQVV+Q9,https://www.google.com/maps/place/6G9CJQVV%2BQ9
,97,MUF,Mufuti,Nord-Kivu,6GCC8992+MR,https://www.google.com/maps/place/6GCC8992%2BMR
,98,MWN,Mwenga,Sud-Kivu,6G8CXC5F+V7,https://www.google.com/maps/place/6G8CXC5F%2BV7
,99,NGO,Nongo,Ituri,6GHGF4GV+65,https://www.google.com/maps/place/6GHGF4GV%2B65
,100,NIA,Nia-Nia,Ituri,6GH9CJ45+X3,https://www.google.com/maps/place/6GH9CJ45%2BX3
,101,NLM,Nyamilima,Nord-Kivu,6GFF4H9C+VF,https://www.google.com/maps/place/6GFF4H9C%2BVF
